"Network","Decomposition","Delta_t","Delta_x","Time_Limit","Space_discr","CS_model","Objective_model","MINLP","NLP","MIQCP","CQP","Time","Objective","piter","aiter","error_p","error_q","relaxation_p","relaxation_q"
"GasLib-11","N01.entry03,N04.N05","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","118,25539755821228","0,001091640468956761","1","3","0.07457541787707164","0.08708573652674954","0.1","0.1"
"GasLib-11","N01.N02,N04.N03","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","3,2813494205474854","4,488910488307927e-07","1","2","0.06840821017990353","0.0320800298059129","0.1","0.09999964404267772"
"GasLib-11","N01.N03,N04.N02","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","20,354970693588257","6,887026138876316e-05","1","3","0.06902039896108192","0.029550267054826176","0.09999994790350741","0.09999985451702627"
"GasLib-11","N02.N01,N03.N04","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","3,022073745727539","6,024279532554571e-07","1","2","0.05693489705797398","0.011735114855077354","0.09999998659214761","0.09999992528994218"
"GasLib-11","N02.N04,N03.N01","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","1,4681737422943115","9,067665239352723e-07","1","1","0.01909961449576132","0.0011265658234687758","0.0999812524222266","0.09999833312697244"
"GasLib-11",",","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","5,366722345352173","4,0642416303003744e-14","1","1","0","0","0.09999994121331793","0.09999978079710194"
"GasLib-11",",,","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","1001,4055194854736","265,6061260521734","1","1","0","0","0","0"
"GasLib-11","","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","45,23916172981262","0,2473379835149953","6","28","0.09959306154748868","0.05929863230796094","0.1","0.1"
"GasLib-11","N01.V01_N01_N03,N03.V01_N01_N03","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","4,375044107437134","7,840865545031065e-15","1","1","0.0001550122400451373","3.250389474927069e-05","0.09999505350797751","0.09999332035650915"
"GasLib-11","N01.entry03","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","5,025248765945435","5,518246297015865e-12","1","1","5.7721225283427626e-05","0.00018806357215259253","0.09999886483687086","0.09999656921609573"
"GasLib-11","N04.N05","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","292,0402886867523","0,0007642917226345123","1","1","0.07938375309784441","0.06592498470661091","0.09996733001717217","0.1"
"GasLib-11","N01.entry03,N04.N05","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","182,14428758621216","0,0011071669232746058","1","4","0.08575889721570995","0.08568112699057573","0.1","0.1"
"GasLib-11","N01.N02,N04.N03","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","5,603452205657959","6,78084468250887e-07","1","2","0.06058688875220769","0.026421637779354797","0.09999860342463152","0.09999227460380146"
"GasLib-11","N01.N03,N04.N02","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","87,78952646255493","0,003640691147565191","2","6","0.013430025818416083","0.08439733657507825","0.1","0.1"
"GasLib-11","N02.N01,N03.N04","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","3,269848108291626","1,854731412574548e-06","1","1","0.07170275990559574","0.01789506096106944","0.09999998742883434","0.09999983940497054"
"GasLib-11","N02.N04,N03.N01","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","49,28217577934265","0,0009525862934783936","2","6","0.04168271056952476","0.04568591047787216","0.0999999874456212","0.09999998557940595"
