"Network","Decomposition","Delta_t","Delta_x","Time_Limit","Space_discr","CS_model","Objective_model","MINLP","NLP","MIQCP","CQP","Time","Objective","piter","aiter","error_p","error_q","relaxation_p","relaxation_q"
"GasLib-40",",","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","174,44667315483093","5,435008399502069","1","1","0","0","0.1","0.1"
"GasLib-40",",,","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","50,65724277496338","5,867148807811374","1","1","0","0","0","0"
"GasLib-40","","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex"," - "," - "," - "," - "," - "," - "," - "," - "
"GasLib-40","sink_25.source_1.source_2.source_3","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex"," - "," - "," - "," - "," - "," - "," - "," - "
"GasLib-40","sink_25.source_3","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","126,8065094947815","5,698348841342279","4","17","0.08846719756980212","0.04462071253248197","0.1","0.1"
"GasLib-40","sink_25.sink_1","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex"," - "," - "," - "," - "," - "," - "," - "," - "
"GasLib-40","sink_25.innode_6,sink_10.sink_11","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","146,30525851249695","5,814095900669654","4","20","0.09957254505476176","0.06120830391283347","0.1","0.1"
"GasLib-40",",","60","5000","1000","impl_euler","MIPa","cscost","knitro","knitro","cplex","cplex","1006,0562233924866","11,159846043363576","1","1","0","0","0.1","0.1"
"GasLib-40",",,","60","5000","1000","impl_euler","MIPa","cscost","knitro","knitro","cplex","cplex","1004,7455554008484","7,494397880504941","1","1","0","0","0","0"
"GasLib-40","","60","5000","1000","impl_euler","MIPa","cscost","knitro","knitro","cplex","cplex"," - "," - "," - "," - "," - "," - "," - "," - "
"GasLib-40","sink_25.source_1.source_2.source_3","60","5000","1000","impl_euler","MIPa","cscost","knitro","knitro","cplex","cplex"," - "," - "," - "," - "," - "," - "," - "," - "
"GasLib-40","sink_25.source_3","60","5000","1000","impl_euler","MIPa","cscost","knitro","knitro","cplex","cplex"," - "," - "," - "," - "," - "," - "," - "," - "
"GasLib-40","sink_25.sink_1","60","5000","1000","impl_euler","MIPa","cscost","knitro","knitro","cplex","cplex"," - "," - "," - "," - "," - "," - "," - "," - "
"GasLib-40","sink_25.innode_6,sink_10.sink_11","60","5000","1000","impl_euler","MIPa","cscost","knitro","knitro","cplex","cplex"," - "," - "," - "," - "," - "," - "," - "," - "
"GasLib-40",",","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","184,92811059951782","8,445001469630375","1","1","0","0","0.1","0.09999989906547874"
"GasLib-40",",,","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","111,85858225822449","0,09215692189354986","1","1","0","0","0","0"
"GasLib-40","","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex"," - "," - "," - "," - "," - "," - "," - "," - "
"GasLib-40","sink_25.source_1.source_2.source_3","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","793,9492156505585","69,33518536765526","24","119","0.0704333110250628","0.09671368621825852","0.1","0.1"
"GasLib-40","sink_25.source_3","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","310,7507870197296","12,490744364535294","7","33","0.08608975303943399","0.09528027474839226","0.1","0.1"
"GasLib-40","sink_25.sink_1","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","501,64336037635803","13,538447848083912","8","39","0.09875054864399574","0.081320686490284","0.1","0.1"
"GasLib-40","sink_25.innode_6,sink_10.sink_11","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","239,60878086090088","15,59417057686855","8","36","0.08632606086497636","0.06745835011294346","0.1","0.1"
"GasLib-40",",","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","1006,0566947460175","3874,6625069255742","1","1","0","0","0.1","0.1"
"GasLib-40",",,","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","1004,5906727313995","56,70913850601604","1","1","0","0","0","0"
"GasLib-40","","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex"," - "," - "," - "," - "," - "," - "," - "," - "
"GasLib-40","sink_25.source_1.source_2.source_3","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex"," - "," - "," - "," - "," - "," - "," - "," - "
"GasLib-40","sink_25.source_3","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex"," - "," - "," - "," - "," - "," - "," - "," - "
"GasLib-40","sink_25.sink_1","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex"," - "," - "," - "," - "," - "," - "," - "," - "
"GasLib-40","sink_25.innode_6,sink_10.sink_11","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex"," - "," - "," - "," - "," - "," - "," - "," - "
